Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Benoni,5023,Valid,H6,600,,reclat,reclong
Bensour,5024,Valid,LL6,600,,reclat,reclong
Benton,5026,Valid,LL6,600,,reclat,reclong
Berduc,48975,Valid,L6,600,,reclat,reclong
Béréba,5028,Valid,Eucrite-mmict,600,,reclat,reclong
Berlanguillas,5029,Valid,L6,600,,reclat,reclong
Berthoud,47355,Valid,Eucrite-mmict,600,,reclat,reclong
Bethlehem,5032,Valid,H,600,,reclat,reclong
Beuste,5034,Valid,L5,600,,reclat,reclong
Beyrout,5035,Valid,LL3.8,600,,reclat,reclong
Bhagur,5037,Valid,L6,600,,reclat,reclong
Bhawad,36591,Valid,LL6,600,,reclat,reclong
Bherai,5039,Valid,L6,600,,reclat,reclong
Bhola,5040,Valid,LL3-6,600,,reclat,reclong
Bholghati,5041,Valid,Howardite,600,,reclat,reclong
Bialystok,5042,Valid,Eucrite-pmict,600,,reclat,reclong
Bielokrynitschie,5043,Valid,H4,600,,reclat,reclong
Bilanga,5045,Valid,Diogenite,600,,reclat,reclong
Binningup,5051,Valid,H5,600,,reclat,reclong
Birni N'konni,5056,Valid,H4,600,,reclat,reclong
Bishopville,5059,Valid,Aubrite,600,,reclat,reclong
Bishunpur,5060,Valid,LL3.15,600,,reclat,reclong
Bjelaja Zerkov,5063,Valid,H6,600,,reclat,reclong
Bjurböle,5064,Valid,L/LL4,600,,reclat,reclong
Black Moshannan Park,5065,Valid,L5,600,,reclat,reclong
Blackwell,5068,Valid,L5,600,,reclat,reclong
Blanket,5071,Valid,L6,600,,reclat,reclong
Blansko,5072,Valid,H6,600,,reclat,reclong
Bloomington,5076,Valid,LL6,600,,reclat,reclong
Bo Xian,5090,Valid,LL3.9,600,,reclat,reclong
Bocas,5093,Valid,L6,600,,reclat,reclong
Bogou,5097,Valid,"Iron, IAB-MG",600,,reclat,reclong
Boguslavka,5098,Valid,"Iron, IIAB",600,,reclat,reclong
Borgo San Donino,5110,Valid,LL6,600,,reclat,reclong
Bori,5111,Valid,L6,600,,reclat,reclong
Boriskino,5112,Valid,CM2,600,,reclat,reclong
Borkut,5113,Valid,L5,600,,reclat,reclong
Borodino,5114,Valid,H5,600,,reclat,reclong
Botschetschki,5117,Valid,L4,600,,reclat,reclong
Boumdeid (2003),57168,Valid,L6,600,,reclat,reclong
Boumdeid (2011),57167,Valid,L6,600,,reclat,reclong
Bovedy,5121,Valid,L3,600,,reclat,reclong
Bradford Woods,5128,Valid,L,600,,reclat,reclong
Braunau,5133,Valid,"Iron, IIAB",600,,reclat,reclong
Breitscheid,5134,Valid,H5,600,,reclat,reclong
Bremervörde,5135,Valid,H/L3.9,600,,reclat,reclong
Brient,5140,Valid,Eucrite-pmict,600,,reclat,reclong
Bruderheim,5156,Valid,L6,600,,reclat,reclong
